input_id,dataset,accession,expected_filename,expected_relative_path,required,source_type,access_status,expected_bytes,expected_sha256,source_page_url,direct_download_url,acquisition_mode,redistributed_in_repository,license_or_terms_note
R0_RAW_TAR,SCIENCE_R0,GSE345645,GSE345645_RAW.tar,data/tximport/GSE345645/GSE345645_RAW.tar,YES,PUBLIC_GEO_INPUT,PUBLIC,2426050560,62252d1749090ec2c382ddc8402555e35b6c164742deccda6dd3a2b1088f3b4f,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345645,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE345nnn/GSE345645/suppl/GSE345645_RAW.tar,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R0_TX2GENE,SCIENCE_R0_R1_R2,GSE345645,GSE345645_transcript_to_gene.csv.gz,data/tximport/GSE345645/GSE345645_transcript_to_gene.csv.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,2330283,2adf0ac4d4f81fc62d4725962b57b19196418c5d152cb1a8d0c51a85268063f9,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345645,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE345nnn/GSE345645/suppl/GSE345645_transcript_to_gene.csv.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R0_COUNTS,SCIENCE_R0,GSE345645,GSE345645_gene_counts.csv.gz,data/processed/GSE345645/GSE345645_gene_counts.csv.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,13124584,d1740b5890f989797cac9bd28b021a54bccbe9eb022cfd5d5649c7b6d4318ded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345645,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE345nnn/GSE345645/suppl/GSE345645_gene_counts.csv.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R0_SV,SCIENCE_R0,GSE345645,GSE345645_subseries1_adult_bulk_surrogate_variables.csv.gz,data/processed/GSE345645/GSE345645_subseries1_adult_bulk_surrogate_variables.csv.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,27122,f0307bbb168a874708e75539135896f2b38804901f0fd3adeee3fdf8b7dd2e27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345645,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE345nnn/GSE345645/suppl/GSE345645_subseries1_adult_bulk_surrogate_variables.csv.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R0_SOFT,SCIENCE_R0,GSE345645,GSE345645_family.soft.gz,data/metadata/GSE345645/GSE345645_family.soft.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,14140,63d5d98bc092f652d49f6d578e85b0b96944bef3f24021b3def33698ad6621e4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345645,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE345nnn/GSE345645/soft/GSE345645_family.soft.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R1_XLSX,R1,GSE240921,GSE240921_processed-data-human.xlsx,data/processed/GSE240921/GSE240921_processed-data-human.xlsx,YES,PUBLIC_OFFICIAL_LOCAL_AUTHORITY,PUBLIC,9035174,a09bd465426c9c4bac112366d2f1de2680f8325f94c71023f97670c7a1b8180d,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240921,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE240nnn/GSE240921/suppl/GSE240921_processed-data-human.xlsx,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R1_SOFT,R1,GSE240921,GSE240921_family.soft.gz,data/metadata/GSE240921/GSE240921_family.soft.gz,YES,PUBLIC_OFFICIAL_LOCAL_AUTHORITY,PUBLIC,5750,e9bc87e1d44ab47d70ff1ad644e590e4384180ee5c79b0e8fa7898eb70c2f3fa,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240921,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE240nnn/GSE240921/soft/GSE240921_family.soft.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R2_MATRIX,R2,GSE198618,GSE198618_Normalized_Counts_RV_ALL.csv.gz,data/processed/GSE198618/GSE198618_Normalized_Counts_RV_ALL.csv.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,3611952,941d5060613fa0d5d3472c00259aa3d82df102b81b72e35877aac37b8f452982,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198618,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE198nnn/GSE198618/suppl/GSE198618_Normalized_Counts_RV_ALL.csv.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R2_SOFT,R2,GSE198618,GSE198618_family.soft.gz,data/metadata/GSE198618/GSE198618_family.soft.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,3596,19184cca59654728feb6089ba75e0b3b80fd2ea67e27288386eca5c19a4f9aed,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198618,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE198nnn/GSE198618/soft/GSE198618_family.soft.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R3_MAIN_MATRIX,R3,GSE249696,GSE249696_ext395_rnaseq.txt.gz,data/processed/GSE249696/GSE249696_ext395_rnaseq.txt.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,3720825,2ac6465ed35a45a8b3b56c30df7e6a0b3dc9469bddd340ad36d92a0eae09a5f2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249696,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249696/suppl/GSE249696_ext395_rnaseq.txt.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
