"sequence","full94_sequence","node_id","segment","layer","engine","public_relative_path","effective_sha256","expected_exit","transition_policy","required_postcondition","public_scope"
"1","1","C0254","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","POWERSHELL","code/stages/SCIENCE_R0/C0254__C0254__00_download_exact_tximport_inputs.ps1","9aed2ec8e6a75856154b3a3f5c769d6af28d443ef058f9b0a8a1c099d081773c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"2","2","C0262","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0262__C0262__01_prepare_exact_tximport_v4_LOCAL_RUN.R","b4fd5b1dc476a6c9b13e4f0150c2cdec54dabdc4abf077d06642459cc5e25baf","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"3","3","C0264","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0264__C0264__02_fit_author_model_v4_LOCAL_RUN.R","2c2a885782388fd906fbbd87374b2501d9fdea6fb66548d8ae931fbf97a8e627","21","EXPECTED_INTERMEDIATE_HANDOFF","R0_STEP6_FROZEN_HANDOFF","PUBLIC_CORE_SCIENCE"
"4","4","C0265","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0265__C0265__02B_beta_convergence_diagnostic_v4_LOCAL_RUN.R","35b0e3bbfeac718b2febc5174c22377772cc50ba29a669c61c0bcb8c86551663","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"5","5","C0266","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0266__C0266__02C_wald_maxit1000_repair_v4_LOCAL_RUN.R","9c77ab618e49206223722d8b9d139387d27eb730160f60291e24f9928900cd12","22","EXPECTED_INTERMEDIATE_HANDOFF","R0_STEP6_FROZEN_HANDOFF","PUBLIC_CORE_SCIENCE"
"6","6","C0267","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0267__C0267__02D_targeted_stability_audit_v4_LOCAL_RUN.R","ec8fdb9c70313d80fd00580bb215779fa3fb5a902437aa7c8786bb063c5a039c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"7","7","C0269","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0269__C0269__03A_export_default_results_v4_LOCAL_RUN.R","e0fd1bc94c29bce429910d21d6454f191563055b41ae39b12995dc2311f367dc","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"8","8","C0270","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0270__C0270__03B_freeze_primary_inference_universe_v4_LOCAL_RUN.R","5f02f3efa3917bb8eb3b95f1f44afb7af841f815d240b902f0013c9c3e7047fa","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"9","9","C0271","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0271__C0271__03C_ashr_effect_size_v4_LOCAL_RUN.R","06cf75e9fcd5b5246acee760d8a80a715bcd2d2c0824003c49de77ab0ca47774","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"10","10","C0272","UPSTREAM_PRE_GATE9K_32","SCIENCE_R0","R","code/stages/SCIENCE_R0/C0272__C0272__03D_final_R0_freeze_v4_LOCAL_RUN.R","5b67c13d536ea85b1f728cc20a11fbc36c4786fa757dd43f2cf178ab7c59a272","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"11","11","C0275","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0275__C0275__00_GSE240921_acquire_preflight_LOCAL_RUN.R","68e226dec882592244522227916125882b223b60d5af31c8cd65c51754532734","34","EXPECTED_SEMANTIC_HANDOFF","R1_EXACT_19PASS_2FAIL_COMP12_DECOMP15","PUBLIC_CORE_SCIENCE"
"12","12","C0276","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0276__C0276__00B_GSE240921_semantic_repair_LOCAL_RUN.R","1a68707c34c890ae5523de2cdd2edf834121e595f75af00a61ff59953b687ad4","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"13","13","C0277","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0277__C0277__01_GSE240921_model_contract_prefit_LOCAL_RUN.R","3a2faca5173323b07c1af086343b54a0b0b736f50b5dc98d50a9d39c85f3c7e1","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
